Year,Quarter,GDP_growth
2000-01,Q1,5.1
,Q2,6.7
,Q3,4.4
,Q4,1.8
2001-02,Q1,4.6
,Q2,5.3
,Q3,6.8
,Q4,6.4
2002-03,Q1,5.1
,Q2,5.4
,Q3,1.7
,Q4,3.7
2003-04,Q1,5.4
,Q2,9
,Q3,11.3
,Q4,8.1
2004-05,Q1,8.3
,Q2,7.4
,Q3,5.3
,Q4,9
2005-06,Q1,9.1
,Q2,8.9
,Q3,9.7
,Q4,10.3
2006-07,Q1,9.7
,Q2,10.2
,Q3,9.4
,Q4,9.8
2007-08,Q1,9.2
,Q2,9
,Q3,9.3
,Q4,8.6
2008-09,Q1,7.8
,Q2,7.7
,Q3,5.8
,Q4,5.8
2009-10,Q1,6.1
,Q2,7.9
,Q3,7.7
,Q4,11.4
2010-11,Q1,9.1
,Q2,8.2
,Q3,8.7
,Q4,9.6
2011-12,Q1,7.6
,Q2,7
,Q3,6.5
,Q4,5.8
2012-13,Q1,4.9
,Q2,7.5
,Q3,5.4
,Q4,4.3
2013-14,Q1,6.4
,Q2,7.3
,Q3,6.5
,Q4,5.3
2014-15,Q1,8
,Q2,8.7
,Q3,5.9
,Q4,7.1
2015-16,Q1,7.6
,Q2,8
,Q3,7.2
,Q4,9.1
2016-17,Q1,9.4
,Q2,8.9
,Q3,7.5
,Q4,7
2017-18,Q1,6
,Q2,6.8
,Q3,7.7
,Q4,8.1
2018-19,Q1,8
,Q2,7
,Q3,6.6
,Q4,5.8
2019-20,Q1,5
2019-20,Q2,4.5
